,Sentence,Sentiment
2839,salonen ad data show produc pulp inventori north america declin,negative
2840,marimekko aim expand distribut network primarili increas number concept store shopinshop,neutral
2841,srv lower net sale estim whole 2008 due uncertainti hous sale,negative
2842,awr standard poor affirm credit rate american state water compani golden state water compani,positive
2843,accord ceo kai telann compani newspap achiev best financi result ever,positive
2844,seat belt recal care im buyer tsla,positive
2845,randgold profit hit poor gold price dividend still increas,neutral
2846,adp news jan 22 2009 finnish mobil phone maker nokia oyj omx nok1v said today oper profit decreas eur 5 billion usd 65 bn 2008 eur 8 billion 2007,neutral
2847,finnish raut precis suppli weigh dose system plant chang name lahti precis,neutral
2848,aapl resist right heresold shareswil buy back dip goe 128 gap zone,negative
2849,eurochem head corpor financ alexand gavrilov said pleas confirm eurochem abl attract longterm fund attract rate,positive
2850,q1 2009 compani result tax continu oper exclud nonrecur item total eur 04 mn compar eur 01 mn correspond period 2008,negative
2851,robust growth result inclus cloth chain lindex group decemb 2007,positive
2852,companiesdixon carphon close 134 uk store sale jump,positive
2853,elcoteq dongguan establish 1999 nancheng district dongguan china one elcoteq four volum manufactur plant asiapacif region,neutral
2854,measur result decreas demand technic design product inform,negative
2855,kraft cadburi britvic total recal pull product affect profit,negative
2856,currenc effect 30 pct 20 mln euro 313 mln neg impact revenu,neutral
2857,spi bull move end wait next setup,negative
2858,analyst impress progress tesla flagship factori co spent 16b upgrad 15 tsrandal tsla,positive
2859,isrg break confirm bought leap good trade,positive
2860,highest growth would china weaken demand would continu north america upm said,neutral
2861,busi line may 16 2008 sriperumbudur may 15 nokia two key supplier aspocomp wintek like start oper within three month nokia telecom park sriperumbudur 45 km west chennai,neutral
2862,optimist amzn fundement chart look like poopoo quarter,negative
2863,said lose five famili month economi mani make altern arrang save money,neutral
2864,ship crane manufactur macgregor partner plant china deliv 20082010 vessel order chines cosco german peter dohl hong kong base cido ship,neutral
2865,finnish fiber plastic product maker suominen corpor said net loss continu oper narrow 18 mln euro 23 mln 2006 37 mln euro 48 mln 2005,positive
2866,ab inbev latest bid said unlik win sabmil approv,positive
2867,compani equip rental portfolio consist primarili tool small midsiz custom construct industri,neutral
2868,disappoint see plan fold,neutral
2869,pretax loss total eur 499 mn compar loss eur 154 mn correspond period 2008,neutral
2870,oper profit rose 221 mln eur 199 mln,positive
2871,133 pm omx helsinki 25 030 pct lower 246367 omx helsinki 037 pct 853742 volum 256 mln eur,negative
2872,segment annual revenu approxim eur400m compani said,neutral
2873,pleas fine cooper two countri recent time said,positive
2874,cramo headquart vantaa finland rent construct machineri equip well rent sell modular space,neutral
2875,also strengthen exist partnership cybercom say telest cto esko myllyla,positive
2876,20 march 2006 stora enso refus comment news way,neutral
2877,oper profit increas eur 140 mn eur 49 mn correspond period 2005,positive
2878,znga look test 925 resist point cc cfrazierjr fletchtrad trader,positive
2879,previous compani anticip oper profit improv period,positive
2880,swot analysi one method categor weak,neutral
2881,merril lynch analyst campbel morgan upgrad recommend paperlinx neutral buy may,positive
2882,coker crane suppli tesoro corpor golden eagl refineri martinez california similar crane deliv bp castel refineri spain,neutral
2883,group 12month oper profit grew 31 percent 3378 million euro,positive
2884,counter competitor strength target weak,neutral
2885,return capit employ roce neg 23 compar 113 2007,negative
2886,lulu bounc support earli week indic turn rsi macd smi worth look,positive
2887,cargotec busi area also includ contain handl solut busi area kalmar marin cargo handl offshor load handl solut busi area macgregor,neutral
2888,continu activ focu rd posit offer away point solut toward dynam endtoend solut ervio state,positive
2889,aapl broken downtrend 200dma prove stiff resist short term,positive
2890,2009 stora enso net loss eur 8797 million compar eur 6734 million previou year,negative
2891,nordic busi report17 januari 2006efor plc inaugur new plant estonia :registered: 19982006 m2 commun ltd finnish power electron manufactur efor plc said tuesday 17 januari inaugur new plant parnu estonia,neutral
2892,total valu project estim 30 mln euro 44 mln servic 20 mln euro 29 mln thirdparti licenc 10 mln euro 15 mln,neutral
2893,reed elsevi share price slide underwhelm fullyear result,negative
2894,technopoli set asid plot land measur 46 hectar build park mikkonen said,neutral
2895,gypsii servic support ten differ languag includ korean russian,neutral
2896,compani turn earn per share ep eur 003 versu loss per share eur 001,positive
2897,compani present hold share,neutral
2898,estim valu deal usd 92 million,neutral
2899,futur plant focu product flang profil wind farm tower,neutral
2900,result transact aggreg hold burril life scienc capit fund lp decreas 5 per cent total number share vote compani,negative
2901,revenu juli septemb grew 14 percent euro 467 million year earlier compani said thursday,positive
2902,4 februari 2011 finnish privaci secur softwar develop tectia oyj hel tec1v said wednesday set two strateg busi unit manag secur mobil authent,neutral
2903,sdm offer gener rental equip aluminium scaffold power gener hoist custom construct sector,neutral
2904,tsla bad day short,positive
2905,nokia control 50 percent phone sale india africa strong prosit emerg market,positive
2906,cytx look like ascend channel finfiz,positive
2907,storengi gdf suez compani dedic underground storag natur ga,neutral
2908,30 novemb 2009 finnish offic furnitur maker martela oyj hel mara said today make redund three peopl nine laid perman compani offic staff factori worker,neutral
2909,panostaja own 6877 pct share capit vote right suomen helasto share follow exchang share carri may 30 2007,neutral
2910,financi detail transact disclos,neutral
2911,two compani also partner develop raiso cholesterol lower brand benecol,positive
2912,nugt gold 1400wow,positive
2913,diageo sale disappoint currenc compar leav bitter tast,negative
2914,finnish mreal kyro mill start negoti cut staff,neutral
2915,london marketwatch share price end lower london monday rebound bank stock fail offset broader weak ftse 100,negative
2916,share befor anyon els system hit 10month high rate upgrad,positive
2917,capac eas seikku sawmil pori alholma sawmil pietarsaari result 60 peopl laid around six week start midmay said,neutral
2918,transact expect final dec 2009,neutral
2919,aria bounc player long 617,positive
2920,board said compani omit tender substanti part work right found nonrespons evalu team,neutral
2921,finnish aktia group oper profit rose eur 175 mn first quarter 2010 eur 82 mn first quarter 2009,positive
2922,oper need learn use one devic multipl level applic includ voicedirect oper,neutral
2923,rival compani gwr watco eye ra w takeov interest,positive
2924,net interest incom eur 1522 mn eur 1010 mn 2008,positive
2925,howev order receiv period review fell 17 quarteronquart eur 213 million record second quarter 2010,negative
2926,net sale fell 33 third quarter 2008 eur 1305 mn,neutral
2927,julyseptemb 2009 konecran sale decreas eur 3687 mn eur 5204 mn julyseptemb 2008,negative
2928,result also burden increas fix cost associ oper china restructur cost japan,negative
2929,cencorp net sale first quarter estim eur091 2 compar eur4 5 first quarter 2008,neutral
2930,finland bank àland report oper profit fell eur 61 mn second quarter 2008 eur 75 mn second quarter 2007,neutral
2931,cargotec share capit increas total eur 64299180,neutral
2932,sopho aim rais 100m london ipo,positive
2933,new structur provid better commun faster decisionmak cost save proha said,positive
2934,718430 new seri share becom subject trade helsinki stock exchang main list togeth old seri share juli 3 2006,neutral
2935,21 octob 2010 finnish fish tackl compani rapala vmc corp hel rap1v said today net profit rose eur18 9 first nine month 2010 eur15 1 period year earlier,positive
2936,remaind revenu come technolog agreement firm interdigit said,neutral
2937,tyrvaan sanomat publish twice week tyrvaan sanomat oy appear sastamala kiikoinen,neutral
2938,cargotec corpor press releas april 28 2008 200 pm finnish tear eye cargotec macgregor busi area provid marin cargo handl offshor load handl solut receiv signific hatch cover order bulk carrier,positive
2939,juha haapakoski continu editorinchief budget respons also new publish,neutral
2940,nordstjernan use option buy anoth 224 stake salcomp share vote,neutral
2941,net sale healthcar trade busi 2009 eur 1451 million eur 1552 million oper profit eur 89 million eur 79 million,neutral
2942,tower chose add due go oper summer increas total capac 80 broadsheet 160 tabloid page abil run 32 48page product side side,positive
2943,scanfil system supplier contract manufactur commun sector start personnel negoti oulu finland lay staff temporarili,negative
2944,oper profit decreas eur 16mn eur 211 mn 2008,neutral
2945,pc digit guatemala use tecnomen prepaid system telgua fix network well code divis multipl access cdma global system mobil commun gsm sinc 2003,neutral
2946,compani disclos detail includ anticip transact timet name new investor within one week,neutral
2947,number collect error fell consider oper speed,positive
2948,insur old mutual pick standard bank hemphil new ceo,neutral
2949,broker tip rb croda sage,positive
2950,oper profit eur 06 mn loss eur 19mn year earlier,positive
2951,reduct implement immedi begin octob 2009,neutral
2952,ebay nice breakout recent consolid congrat,positive
2953,compani plan close two three line plant 450 job threat,negative
2954,contract includ heat plant equip associ instal work,neutral
2955,kinder morgan bp form joint ventur limit liabil compani purchas,positive
2956,qualcomm estim firstquart profit 46 50 cent share exclud certain item analyst estim 61 cent share,negative
2957,nest oil corp sign longterm procur contract honkajoki oy findest protein oy own finnish food manufactur suppli anim fat biodiesel product nest 200000 bcd porvoo finland refineri,positive
2958,total invest 2006 2007 expect amount eur75m,neutral
2959,mursula said tri gather macroeconom perspect see malaysia,neutral
2960,present materi view compani websit english confer,neutral
2961,finnish metso paper order suppli uncoat fine paper machin mcc paper yinh china,positive
2962,complet 120meter watchtow highest build ireland,neutral
2963,galeria podlaska shop mall wysockiego street bia ystok approxim 60percent leas reserv,neutral
2964,product frontedg fold maxim weather resili enabl seamless roof finish,neutral
2965,intuit surgic isrg great financi posit take look,positive
2966,dragonfli love anoth video shot start finish use nokia n8,neutral
2967,new apart block go close citi center explain chairman board yit ehitu priit sauk,neutral
2968,25 march 2011 finnish electron contract manufactur scanfil oyj hel scf1v said today plan merg wholli own scanfil em group ojalayhtyma oy hit snag sharehold domest rival reject deal,neutral
2969,refilehikma barclay help britain ftse climb higher,positive
2970,finnish stockmann group mail order unit hobbi hall launch trial market campaign russia,neutral
2971,utsi long setup report good earn,positive
2972,quartal oy own 2094063 share satama interact plc repres 519 per cent share capit vote right,neutral
2973,demand brisk expect order level remain high,positive
2974,adpnew sep 28 2009 finnish silicon wafer maker okmet oyj hel okm1v said reduc number cleric worker 22 worldwid result personnel negoti complet today,negative
2975,pretax profit decreas 37 eur 1931 mn eur 3056 mn,neutral
2976,compani order book stood 15 bln euro 22 bln septemb 30 2007 242 pct year intern order amount 365 mln euro 5343 mln,positive
2977,compar oper profit quarter decreas eur510m sale increas eur860m compar third quarter 2007,negative
2978,barclay pois replac sir mike rake head exit,neutral
2979,sale unit slump last year industri hit poor snowfal major resort winter 200607,negative
2980,barclay appoint jpmorgan paul compton new coo,neutral
2981,aapl bounc support seem,positive
2982,oper profit fell eur 381 mn eur 553 mn 2007,neutral
2983,estonian parliament set vote amend excis duti law wednesday would add 042 kroon price liter diesel 045 kroon price liter gasolin start 2010,neutral
2984,elcoteq proven track record electron manufactur servic em global factori network coupl modern manufactur equip consist system process,positive
2985,mtd mettlertoledo readi breakout,positive
2986,hsbc shake board two new busi chief three departur,neutral
2987,inventor ridg justin bao yiliang karczewicz marta,neutral
2988,one also appli job directli ipad select cv attach cover letter appropri posit,neutral
2989,way industri start point consum need,neutral
2990,prosecutor also demand outokumpu pay fine eur 800000,neutral
2991,2008 gener net sale eur 93 million usd 131,neutral
2992,publish globe onlin israel busi news novemb 16 2009 :registered: copyright globe publish itonut 1983 ltd 2009,neutral
2993,eur17m contract includ design construct work,neutral
2994,aapl beat estim still go lack new product,negative
2995,delhaiz le lion select aldata gold vocal pda solut motorola wt4090 pda termin,neutral
2996,baltimor polic fire pension 15 billion lost 35 million madoff ponzi scheme,neutral
2997,accord compani oper profit exclud nonrecur item fourth quarter 2009 significantli better expect also better figur fourth quarter 2008,positive
2998,new unit built cargotec state art manufactur facil san antonio texa usa start oper 2009,neutral
2999,oper loss total eur 40 mn compar profit eur 86 mn second quarter 2008,neutral
3000,29 septemb 2010 finnish wast manag recycl compani lassila tikanoja expand oper russia introduc recent complet recycl plant citi dubna near moscow,positive
3001,biohit alreadi servic mani current genesi custom custom base expect expand result agreement,positive
3002,updat cib legal gener sell egyptian life joint ventur axa,positive
3003,oper profit declin mainli due increas cost wood recycl fiber strengthen euro,negative
3004,done domest neighbor market organ acquisit,neutral
3005,news feedfts 100 mover ashtead jump strong interim glencor bp,positive
3006,elit resid tower new develop tameer locat heart dubai marina,neutral
3007,stocktwit kbkiwi tsla tesla model sale exceed target profit guidanc amend upward,positive
3008,tesco sell half stake ecommerc site lazada alibaba â£90m,neutral
3009,top us commerc depart publish worsethanexpect construct spend figur novemb,negative
3010,baltic pearl cjsc subsidiari shanghai foreign joint invest compani develop project st petersburg compris million squar meter residenti space two hospit sever school nurseri,neutral
3011,also upset machineri work taken poland,negative
3012,approv sharehold cencorp accord finnish law,neutral
3013,compani said suppli wcdma 3ghspa radio network includ modular high capac nokia flexi wcdma base station east java bali sumatra batam,positive
3014,rsh look first profit quarter 3 year long strong,positive
3015,mflx pre mkt look like gap filledlookin 4 short opt,negative
3016,finnish forest machineri manufactur ponss agre volvo start cooper latin america,positive
3017,4 februari 2011 finnish broadband data commun system provid telest oyj hel tlt1v saw net profit jump eur2 1 last quarter 2010 eur995 000 period 2009,positive
3018,rout helsinki finland tallinn estonia cargo volum increas 36 cargo volum finland sweden fell 9,neutral
3019,irish said chase standard charter rb brexit vote near,positive
3020,helsinki octob 22 2008 ssh commun secur corp board director inform pleas contact tomi laamanen chairman tel 358 0 400 609 544 distribut nasdaq omx helsinki ltd,neutral
3021,yoku high volum blast friday goe higher,positive
3022,kemira headquart helsinki finland intern chemic group compris busi area kemira pulp paper kemira water kemira specialti kemira coat,neutral
3023,chic cheer finnish design hous marimekko send geometr textil world past 60 year,neutral
3024,recoveri demand start toward end 2009 continu januarymarch 2010,positive
3025,compar oper profit decreas eur 138 mn eur 171 mn correspond period 2005,neutral
3026,guangdong octob 26 sinocast nokia telecommun dongguan branch enter letter intent open nokia class qingyuan polytechn qingyuan citi guangdong provinc,neutral
3027,compani give palm oil altogeth howev,neutral
3028,2007 group net sale stood eur 22 million 150 employe end june 2008,neutral
3029,marimekko oper industri chang busi climat reflect consum demand,neutral
3030,us debt lure schroder ecb depress rate,neutral
3031,outotec current deliv new oil shale process plant eesti energia estonia base enefit technolog develop jointli eesti energia outotec,neutral
3032,ep outlook increas 56 pct 2007 70 pct 2008,positive
3033,compani 410 employe annual turnov eur65 4 vaahto group list nordic exchang helsinki,neutral
3034,dpz broke bull flag channel make new high volum poor,positive
3035,amzn reject 604 penni weak open goe rg within first 30 min could 810 point,negative
3036,bbbi stock option trade would doubl money via thestreet,positive
3037,pretax loss total eur 12 mn profit eur 21 mn 2004,negative
3038,tesla model deliveri 35 germani record deliveri march chart tsla,positive
3039,oper profit asian plant grew markedli,positive
3040,prosecutor also demand outokumpu pay fine eur 800000,negative
3041,konecran previous commun estim reduct 1600 employe group level 2009,negative
3042,oulu plant employ approxim 120 peopl,neutral
3043,900 eet alma media annual report 2009 schedul publish calendar week 9,neutral
3044,scopi chief busi excel offic eng,neutral
3045,share capit baswar corpor 11720829,neutral
3046,new morrison duo get former bosss support diffus investor tension,positive
3047,order also includ startup commiss servic,neutral
3048,upm deliveri increas third quarter 4 percent effici oper improv chief execut jussi pesonen said,positive
3049,outokumpu chief execut juha rantanen express confid china market,positive
3050,mr kr vasantha appoint manag director incap contract manufactur servic pvt ltd,neutral
3051,compani charg natur ga storag activ franc great britain germani,neutral
3052,solut extens exist onlin mediat solut deliv earlier comptel ibm,neutral
3053,us feder govern put stake ground vendor custom focus meet deadlin,neutral
3054,finnish construct compani yit corpor plan build 200 highqual holiday home near tahko ski spa resort finland,positive
3055,oper profit total eur 67 mn eur 72 mn correspond period 2005,neutral
3056,third order award outokumpu technolog shalkiya zinc kazakhstan shalkiya zinclead project kazakhstan,positive
3057,june sold 30 percent stake nordstjernan invest group taken option acquir eqt remain share,neutral
3058,tiimari latvian repres ineta zaharova said compani earn lvl 122000 2005 profit 20 time 2004,positive
3059,oper profit fell eur 354 mn eur 688 mn 2007 includ vessel sale gain eur 123 mn,negative
3060,smh got sell signal 64 need take 3928 go higher otherwis head lower 3760 gap 3538,negative
3061,negoti concern 246 salari senior salari employe schedul complet six week,neutral
3062,product liquid june 2009 325 employe loos job,negative
3063,adp news may 29 2009 bank america bofa downgrad today rate swedishfinnish paper maker stora enso oyj hel sterv finnish sector player upmkymmen oyj hel upm1v underperf,neutral
3064,deutsch bank downgrad starbuck new loyalti program sbux,negative
3065,oper profit exclud nonrecur item total eur 10 mn eur 16 mn,neutral
3066,compani said offshor segment repres 43 total marin engin order julyseptemb 2010 period merchant 33 special vessel 18 cruis ferri ship design 2 3 respect,neutral
3067,finnish vaahto group provid papermak technolog process machineri start negoti concern temporari layoff 140 employe compani plant hollola tamper finland,neutral
3068,accord finnish petrol station chain st1 manag director kim wiio compani forc make purchas rise price first half 2008 consum price go almost daili due competit,negative
3069,filter use preprocess packet determin need process processor network devic,neutral
3070,altona state privat compani altona chairman kevin maloney tulla resourc would take entitl full,neutral
3071,howev net sale 2010 seen grown eur598 3 eur582 3 2009,positive
3072,dutch broker note nokian tyre report good first quarter 2006 line consensu,positive
3073,okhta center area expect 700000 squar metr offic premis 2016,neutral
3074,oper profit improv eur 203 mn eur 114 mn,positive
3075,store 16 march 2010 finnish stationeri gift retail tiimari hel tii1v said yesterday cut total 28 job unit tiimari retail ltd gallerix finland ltd result closur shop,negative
3076,transact expect complet next spring,neutral
3077,compani expect net sale whole 2009 remain 2008 level,neutral
3078,oper profit net sale 12month period increas respect eur21 5 eur196 1 compar 2005,positive
3079,compani serv custom variou industri includ process resourc industri machineri architectur build construct electr transport electron chemic petrochem energi inform technolog well cater household,neutral
3080,custom wide rang industri use stainless steel servic worldwid,neutral
3081,total number vote right 74612523,neutral
3082,mr bakman see also expans option tallinnhelisnki link claim howev oper link singl ship enough,neutral
3083,zagg get readytarget 15 plu close 1350 better avg daili volum,positive
3084,finnish nation carrier said net loss april june euro26 million net profit euro13 million year earlier,negative
3085,eu commiss said earlier fine thyssenkrupp unit technolog corp oti schindler ag kone oyj total 9923 mln eur alleg cartel activ lift market go back twelv year,negative
3086,recent compani decid build second ident plant site due commiss toward end 2008,neutral
3087,vnoto74 follow sell signal ndx intern 0623 technic sell qqq 0625,negative
3088,talentum net sale septemb smaller expect,neutral
3089,india trade russia current stand four billion dollar grow 96 per cent fiscal 2007,positive
3090,eu law issu may introduc around 2010,neutral
3091,bioc rsi extrem long favor look bioc histor,positive
3092,consolid oper profit exclud oneoff item eur 306 mn eur 296 mn year earlier,positive
3093,broad rang connect option includ 3g hspa wifi give consum high speed access internet,neutral
3094,sevenmonth sale raguti control finnish breweri olvi declin 112 percent 1541 million liter compani held 989 percent market,neutral
3095,product portfolio compris harvest forward harvest head well crane loader,neutral
3096,yhoo break 5min,positive
3097,digia also set two subsidiari digia norway digia usa inc,neutral
3098,contract also includ cut edg wagon part ruukki steel servic centr seinajoki raah deliv vr weld assembl,neutral
3099,ab inbev attack sabmil bid rebuff,negative
3100,effici improv measur 20 januari 2010 finnish stationeri gift retail tiimari hel tii1v said today continu improv oper effici focus profit core oper,positive
3101,oper three distinct brand unit supermarket market street unit supermercado,neutral
3102,earn per share ep amount loss eur0 06,negative
3103,busi gross written premium eur152 4 915 2000 net combin ratio 133 175 staff total offic uk germani benelux,neutral
3104,alexandria va may 23 matti harkonen pentti sipponen espoo finland osmo suovaniemi helsinki finland tapani tiusanen vantaa finland develop paper web press devic,neutral
3105,custom wave card front reader make payment similar touch go card use transport system,neutral
3106,bbri nice bounc,positive
3107,howev march 2009 govern st petersburg pass front part build area 1900 squar metr land plot hotel worth usd 1015mn compani delta,neutral
3108,pharmaceut market belgium global research data servic publish recent market analysi pharmaceut market belgium,neutral
3109,marimekko group fullyear net sale estim increas 10,positive
3110,last posit nokia siemen network head busi human resourc nsn global,neutral
3111,well servic import futur,neutral
3112,telest expect start deliveri end 2009,neutral
3113,total eur73 7 provid secur senior threeyear debt syndic involv pohjola bank hel poh1 finnish arm nordea bank ab sto nda sampo bank hel sama,neutral
3114,report june 26 circuit continu altern report track vacant occupi almost constantli june 17 part track signal devic replac tear eye crash accord metro sourc,neutral
3115,jnk want go risk appetit still high,positive
3116,product coverag bake good biscuit breakfast cereal data coverag market size histor forecast compani share brand share distribut data,neutral
3117,close transact took place today,neutral
3118,astrazeneca diabet drug combin face delay fda rebuff,negative
3119,major part deliveri includ differ ac cxe amplifi solut product belgian dinh telecom broadband solut compani acquir telest spring 2007,neutral
3120,follow registr share capit bioti eur 5255667810,neutral
3121,meanwhil alfa own 251 megafon altimo 499 turkcel via 185 stake cukurova hold,neutral
3122,scanfil issu profit warn 10 april 2006,negative
3123,borrow happi roadshow paid hit ratio high,positive
3124,contract also includ cut edg wagon part ruukki steel servic centr seinajoki raah southwestern finland deliv vr weld assembl,neutral
3125,shop center open st petersburg russia novemb 2010 turn cash flow finnish depart store chain stockmann russian oper posit first tear eye 2011,positive
3126,finnish invest compani neomarkka main owner kuitu finland successor,neutral
3127,far norwegian norsk skog reduc staff level 1000 peopl plan reduc product 200000 ton 2008 finnishswedish stora enso cut staff 1700 peopl product 500000 ton,neutral
3128,xlb weakest sector year possibl fals breakout,negative
3129,updat 1pearson expect grow year solid end 2014,positive
3130,upmkymmen corp world largest maker magazin paper tuesday report 19percent profit drop lower paper price higher cost strong euro hurt revenu,neutral
3131,compani said current french distribut unit ragot locat loudeac normandi distribut unit waterqueen line supplier tortu saint marcel midfranc hook manufactur unit vmc hook distribut unit vmc europ morvillar,neutral
3132,nest oil corpor refin market compani concentr clean highqual traffic fuel,neutral
3133,nflx easi pop 500 end feb steadi goe 600 second earn report800 year end matter,positive
3134,compani expect sale revenu rmb8 0 billion 2009,neutral
3135,aria reason short dont show uplong steadi small climb best way accru valu in my opinion,positive
3136,overal pleas startup curv pleas qualiti paper stora spokeswoman patricia dietz said tuesday,positive
3137,result negoti employ 130 blue whitecollar employe oulu plant would termin,negative
3138,sale seppala diminish 6 per cent,negative
3139,combin valu order almost eur 3mn,neutral
3140,stora enso said delight suitabl wide rang applic includ food cosmet home decor leisur product,neutral
3141,upm stock fell 3 percent euro 1249 1724 earli afternoon trade helsinki,negative
3142,pharmaceut market netherland global research data servic publish recent market analysi pharmaceut market netherland,neutral
3143,pcln tri break daili trend line big move could happen,positive
3144,fortum look invest sever new product unit includ new wastefir unit brista combin heat power chp plant biofuelsbas product unit vartan chp plant,neutral
3145,break tesla recal model x car detail show tsla,negative
3146,bg group still happi shell 70 billion offer,positive
3147,acinvestorblog spi eod run,positive
3148,pharmaceut netherland brandnew market analysi give clear overview actual situat futur outlook pharmaceut market netherland,neutral
3149,product capac rise gradual 170000 tonn 215000 tonn,positive
3150,aviat system mainten base kansa gener net sale usd 26 million 2008,neutral
3151,fix acquisit price amount nok 70 approxim eur 87 million addit price nok 15 eur 18 million maximum,neutral
3152,tullow oil suspend dividend amid oil price fall,negative
3153,store locat poznan shop center name pestka compani ad,neutral
3154,total emiss reduct 1999 2017 thu 41,neutral
3155,finnair tallinnbas subsidiari aero carri 23335 passeng declin 608 rout helsinki baltic capit within southern finland,neutral
3156,rosend outoteccom eila paatela vice presid corpor commun tel 358 20 529 2004 358 400 817198 email eila,neutral
3157,agreement larox transfer 10 employe within engin document relat deliveri project product mainten finland etteplan januari 1 2007,neutral
3158,15 decemb 2010 finnishgerman telecom equip maker nokia siemen network said today contract upgrad radio network homebas telecommun compani elisa oyj hel eli1v,positive
3159,rt acinvestorblog aapl still track 500,positive
3160,year dividend deduct subscript price,neutral
3161,addit contract includ modif effluent treatment plant follum,neutral
3162,omx helsinki 25 index 092 pct 251867 helsinki cap portfolio index 091 pct higher 471119,positive
3163,finnish sport equip compani amer sport said decid lay 370 worker salomon divis franc,negative
3164,tiimari regist share capit 16474755 share per today,neutral
3165,finnish plumb heat system supplier uponor net sale continu busi oper decreas eur 2491 mn julyseptemb 2008 compar eur 2621 mn third quarter 2007,negative
3166,finnish aldata solut sign contract suppli gold system two french retail chain,positive
3167,yhoo fishi action new parti interest dailymail bounc retreat short mean action question big move thought,neutral
3168,group own oper fleet 800dwt contain capac 17000 teu manag diversifi fleet railway roll stock 17000 unit,neutral
3169,ctrp break,positive
3170,repurchas bond execut open market accord section 7 f term condit convert bond,neutral
3171,siga bid reargument deni judg,negative
3172,unilev profit rise despit sale slump china,positive
3173,site cover six hectar,neutral
3174,aapl pivot area intraday chart break could send 50day sma 45780,positive
3175,finnlin announc week 17 2006 measur take tackl situat,neutral
3176,stole tweet realli wouldnt surpris took 423 pin around rt totalguru could possibl even see425 today aapl,positive
3177,rlnordic part raiffeisenbankinggroup austria subsidiari raiffeisenleas gmbh austria,neutral
3178,companieshoward davi appoint rb director delay,neutral
3179,loss tax amount eur 12 mn compar loss 26 mn,positive
3180,spi vxx aapl parti load uvxi volatil back,negative
3181,research show access inform technolog one limit factor small busi especi work heterogen network base environ,neutral
3182,sale food potato busi part raisio plan streamlin clarifi busi oper,neutral
3183,compar oper profit decreas eur 138 mn eur 171 mn correspond period 2005,negative
3184,amgn ucb announc posit toplin result ph3 studi evalu romosozumab men via yahoofin,positive
3185,finlandbas intern machineri rental compani ramir plc omx helsinki rmr1v report friday 15 august oper profit eur65 0 net sale eur342 9 period januaryjun 2008,neutral
3186,return invest roi 41 compar 438 first half 2008,neutral
3187,sampo bank market share lend 136 144 first quarter 2008,neutral
3188,bbri let see 14 today,positive
3189,vxx ad posit,positive
3190,cargotec sale total eur 34 billion 2008 employ approxim 10500 peopl,neutral
3191,auto trader share price surg compani float lse,positive
3192,excit work maxi first commerci deploy master maya said joe doer head asia south region nokia siemen network,positive
3193,pulp product finnish kemijñrvi also liquid 1100 employe loos job,neutral
3194,okmet expect net sale first half 2009 less 2008,negative
3195,appl spokeswoman said compani declin comment,neutral
3196,also cut price project paper packag analyst goldman sach said note monday,neutral
3197,furthermor sale new passeng car light commerci vehicl countri declin 54 yearonyear last month,negative
3198,dmasia16 august 2006benefon extend manufactur capabl asmobil :registered: 2006 digitalmediaasiacom dma ltd,positive
3199,share royal sun allianc continu slide back 12month high 172p last month potenti suitor rule takeov bid,neutral
3200,oil slid fouryear low opec kept oil product unchang uso wti brent,negative
3201,updat 5barclay chairman mcfarlan axe ceo speed strateg chang,negative
3202,sampo group becom major sharehold nordea own trygvesta main competitor p c insur,neutral
3203,sale healthcar trade busi support oriolakd strategi focu pharmaceut wholesal retail busi,positive
3204,valu firm forestri hold increas sek 36 bn,positive
3205,finlandbas intern machineri rental compani ramir plc omx helsinki rmr1v said friday 9 may presid ceo kari kallio inform board intent retir year 2009,neutral
3206,accord busi media report usmanov plan transfer megafon stake statecontrol svyazinvest exchang stake merg rostelecom,neutral
3207,solut fulli arab messag want becom partner choic busi neareast region,neutral
3208,pleas bjorn wahlroo accept nomin,positive
3209,product advisori appli nokiabrand batteri compani said,neutral
3210,astrazeneca win fda approv key new lung cancer pill,positive
3211,say categor wahlroo quot say paper ask sampo interest make bid rsa,neutral
3212,endtoend deliveri combin compet servic tietoen telecom media process network digit innov busi area,neutral
3213,long posit ipscal,positive
3214,qcor littl pullback fine eras today gain cannot believ manipul capabl,negative
3215,technik still smaller gild po tender cash due volatil reluct keep mani big posit,positive
3216,group turnov 2006 eur 392 million oper profit eur 39 million,neutral
3217,addit verif ident digit signatur new stateapprov mobil id enabl cast vote elect well,neutral
3218,loss third quarter 2007 eur 03 mn smaller loss second quarter 2007,positive
3219,custom includ hotel restaur well wholesal retail,neutral
3220,construct larg woodwork facil sheksna district vologda region northwest russia begin 2009 plant start product 2011,neutral
3221,result tax decreas nearli eur 145 mn compar nearli eur 20mn previou account period,neutral
3222,hack extra nefari tweet activ without click enough web surfer move mous cursor,negative
3223,fair valu compani invest properti went eur 2768 billion end 2009 eur 2916 billion year earlier,negative
3224,london afx uk european broker recommend issu today collat afx news rang market sourc,neutral
3225,agreement includ entir process manag mercat suppli chain region compani current present,neutral
3226,compani indic level invest unit said purchas equip nokia corpor mobil phone rd laboratori jyvaeskyla,neutral
3227,pharmaceut czech republ brandnew market analysi give clear overview actual situat futur outlook pharmaceut market czech republ,neutral
3228,save long,positive
3229,sale finland rose 39 intern growth 07,positive
3230,mylan appoint ranjan ray chaudhuri global commerci lead mylan,neutral
3231,superior custom centric expertis digit servic set us apart competitor,positive
